syllable,H,K,same-manyogana,hiragana,katakana,H-meaning,H-reading,H-pronunciation,K-meaning,K-reading,K-pronunciation
a,安,阿,❌,あ,ア,calm,🔴 onyomi,on/an/an,prefix/particle,🔴 onyomi,aa/a/-
i,以,伊,❌,い,イ,preposition,🔴 onyomi,ji/yi/yiX,this,🔴 onyomi,ji/yi/jij
u,宇,宇,✅,う,ウ,eaves/house,🔴 onyomi,jyu/yu/hjuX,“,“,“
e,衣,江,❌,え,エ,clothes,🔴 onyomi,ji/yi/j+j,bay,🔵 kunyomi,e
o,於,於,✅,お,オ,,,,,,
ka,加,加,✅,か,カ,,,,,,
ki,幾,幾,✅,き,キ,,,,,,
ku,久,久,✅,く,ク,,,,,,
ke,計,介,❌,け,ケ,,,,,,
ko,己,己,✅,こ,コ,,,,,,
sa,左,散,❌,さ,サ,,,,,,
shi,之,之,✅,し,シ,,,,,,
su,寸,須,❌,す,ス,,,,,,
se,世,世,✅,せ,セ,,,,,,
so,曽,曽,✅,そ,ソ,,,,,,
ta,太,多,❌,た,タ,,,,,,
chi,知,千,❌,ち,チ,,,,,,
tsu,川,川,✅,つ,ツ,,,,,,
te,天,天,✅,て,テ,,,,,,
to,止,止,✅,と,ト,,,,,,
na,奈,奈,✅,な,ナ,,,,,,
ni,仁,仁,✅,に,ニ,,,,,,
nu,奴,奴,✅,ぬ,ヌ,,🔵 onyomi,,,,
ne,祢,祢,✅,ね,ネ,,,,,,
no,乃,乃,✅,の,ノ,,,,,,
ha,波,八,❌,は,ハ,,,,,,
hi,比,比,✅,ひ,ヒ,,,,,,
hu,不,不,✅,ふ,フ,,,,,,
he,部,部,✅,へ,ヘ,,,,,,
ho,保,保,✅,ほ,ホ,,,,,,
ma,末,末,✅,ま,マ,,,,,,
mi,美,三,❌,み,ミ,,,,,,
mu,武,牟,❌,む,ム,,,,,,
me,女,女,✅,め,メ,,,,,,
mo,毛,毛,✅,も,モ,,,,,,
ya,也,也,✅,や,ヤ,,,,,,
yu,由,由,✅,ゆ,ユ,,,,,,
yo,与,與,❌,よ,ヨ,,,,,,
ra,良,良,✅,ら,ラ,,,,,,
ri,利,利,✅,り,リ,,,,,,
ru,留,流,❌,る,ル,,,,,,
re,礼,礼,✅,れ,レ,,,,,,
ro,呂,呂,✅,ろ,ロ,,,,,,
wa,和,和,✅,わ,ワ,,,,,,
o,遠,乎,❌,を,ヲ,,,,,,
n,无,尓,❌,ん,ン,,,,,,
